"MEMBER_ID","SUBSCRIBER_ID","MBI_NUMBER","MEDICAID_ID","MEMBER_RELATIONSHIP","PLAN_ID","PLAN_NAME","PLAN_TYPE","PRODUCT_LINE","GROUP_NUMBER","EMPLOYER_NAME","DATE_OF_BIRTH","GENDER","ZIP_CODE","COUNTY_CODE","STATE_CODE","COVERAGE_START_DATE","COVERAGE_END_DATE","ENROLLMENT_STATUS","COBRA_FLAG","DUAL_ELIGIBLE","LIS_LEVEL","RISK_SCORE","PRIOR_YEAR_RISK_SCORE","RISK_CATEGORY","RISK_PERCENTILE","PROSPECTIVE_RISK_SCORE","CARE_MANAGEMENT_FLAG","CHRONIC_CONDITION_COUNT","PRIMARY_CARE_NPI","_SOURCE_SYSTEM","_VALID_FROM","_VALID_TO","_IS_CURRENT","_LOADED_AT","_RECORD_HASH"
"6d54a7d8-61ae-5e86-8657-7ba803357369","SH100000","X7JT-YK-0265","","SELF","MED-2024-06","Sutter Health Medicare Advantage Gold","MEDICARE_ADVANTAGE","MEDICARE","GRP10287","Bay Area Health Alliance","1980-08-05","F","94131","06075","CA","2023-08-18","","ACTIVE","FALSE","FALSE","LIS1","0.5532","0.4752","LOW","4","0.5133","FALSE","1","1868820204","ELIGIBILITY_834","2026-09-12 00:00:00","","TRUE","2026-09-15 10:31:41","6e7e8ab44fcc8c34d7144c4487703ecd36433a28b139d0f486eac85ca9b69393"
"6436775e-0280-5740-9bd0-b3289bb0be00","SH100001","","CA5728765136","SELF","MED-2024-06","Sutter Health Medicaid Managed Gold","MEDICAID_MANAGED","MEDICAID","GRP10023","Bay Area Health Alliance","1960-01-01","M","94603","06075","CA","2025-05-20","","ACTIVE","FALSE","TRUE","","0.4759","0.4943","LOW","5","0.479","FALSE","1","1930075810","ELIGIBILITY_834","2026-08-25 00:00:00","","TRUE","2026-09-15 10:31:41","56ecbcdeea643dbf3c6379601e7b0c7c14b506daba2bd3ddd4050ae48db39151"
"c12bba9c-a222-53ac-b68d-323dffebc22d","SH100002","","","DEPENDENT","PPO-2024-06","Sutter Health Ppo Gold","PPO","COMMERCIAL","GRP10016","NorCal Tech Coalition","1966-05-28","M","95054","06085","CA","2026-02-23","","ACTIVE","FALSE","FALSE","","6.88","6.9975","CATASTROPHIC","85","6.6309","TRUE","1","1530747414","ELIGIBILITY_834","2026-08-31 00:00:00","","TRUE","2026-09-15 10:31:41","27b3a3f129424b0ecca6b9d27983c8934cd1db366287b59f46699f0eb71ef2c6"
"115de450-dd31-5731-9d5b-eb7531f22f02","SH100003","G70D-QQ-9784","","DEPENDENT","MED-2024-01","Sutter Health Medicare Advantage Gold","MEDICARE_ADVANTAGE","MEDICARE","GRP10024","Palo Alto Medical Foundation","1988-12-11","F","94577","06001","CA","2023-09-11","","ACTIVE","FALSE","FALSE","LIS1","1.4252","1.3662","MODERATE","13","1.5742","FALSE","5","1264112119","ELIGIBILITY_834","2026-08-29 00:00:00","","TRUE","2026-09-15 10:31:41","379c74a8fd9c11e14f0013b410ac9caa7e15867b6238ae7b898e8ab80b0f7525"
"53fb3b06-6e51-5be5-b50e-2bdc4949d1f1","SH100004","P3X5-WA-9570","","SELF","MED-2024-05","Sutter Health Medicare Advantage Gold","MEDICARE_ADVANTAGE","MEDICARE","GRP10311","Bay Area Health Alliance","1998-09-21","F","93701","06085","CA","2024-10-14","2026-04-16","TERMED","FALSE","FALSE","LIS2","0.6004","0.5425","LOW","3","0.5508","FALSE","0","1264109919","ELIGIBILITY_834","2026-08-18 00:00:00","","TRUE","2026-09-15 10:31:41","95838d4cdcf0abf712b3c1cd51b360e481c7b7804ea59b80af29178f3ecae765"
"c2fc80fe-dafe-5dcb-8972-6b2bd96830a4","SH100005","","","SELF","HMO-2024-09","Sutter Health Hmo Gold","HMO","COMMERCIAL","GRP10365","Central Valley Employers Group","1959-01-03","F","95131","06085","CA","2025-04-10","2026-12-05","COBRA","TRUE","FALSE","","2.3498","2.1842","HIGH","31","2.4331","FALSE","5","1528414718","ELIGIBILITY_834","2026-09-08 00:00:00","","TRUE","2026-09-15 10:31:41","0c3794dc08806f8691b57112e185130bf99abf8c187c82ca21c4a0c23040ec5f"
"61d00697-7370-5cb0-9d4a-a64b521a1558","SH100006","","","DEPENDENT","HMO-2024-08","Sutter Health Hmo Gold","HMO","COMMERCIAL","GRP10342","Safeway Health Plan","1975-12-01","M","94115","06075","CA","2023-07-31","","ACTIVE","FALSE","FALSE","","2.0289","2.2757","HIGH","23","1.9739","FALSE","2","1330035022","ELIGIBILITY_834","2026-08-31 00:00:00","","TRUE","2026-09-15 10:31:41","5c0421509a5aefa05da8055218b5f201c1036a2368a332442b7e7cb27810ac48"
"55b4872a-2bfc-5557-adac-c24e47b03ff4","SH100007","H9TF-RG-4731","","DEPENDENT","MED-2024-09","Sutter Health Medicare Advantage Gold","MEDICARE_ADVANTAGE","MEDICARE","GRP10055","Bay Area Health Alliance","1975-02-24","M","95128","06085","CA","2024-07-23","","ACTIVE","FALSE","FALSE","LIS1","0.6921","0.7225","LOW","3","0.6334","FALSE","1","1305718272","ELIGIBILITY_834","2026-08-29 00:00:00","","TRUE","2026-09-15 10:31:41","e410346f218e498ed31d0fc9dbe1788cc4ed96cc3c8555fa711cb7ee2bbf71b4"
"f5d50684-2cb4-576e-a0ba-938384bf2c92","SH100008","V3HM-HC-9805","","SELF","MED-2024-09","Sutter Health Medicare Advantage Gold","MEDICARE_ADVANTAGE","MEDICARE","GRP10356","Kaiser Community Partners","2006-01-15","F","94132","06075","CA","2023-11-29","","ACTIVE","FALSE","FALSE","LIS2","2.9976","2.5499","VERY_HIGH","36","2.749","TRUE","0","1810678904","ELIGIBILITY_834","2026-08-30 00:00:00","","TRUE","2026-09-15 10:31:41","d4e9fb38de422a68ba869f4d4a75bd651ab2d6b589ad7ab5ffff673a5aa286c4"
"0b2ea14c-6c3f-56c6-bbe8-6421de4d28b3","SH100009","","CA6320115677","SELF","MED-2024-05","Sutter Health Medicaid Managed Gold","MEDICAID_MANAGED","MEDICAID","GRP10267","NorCal Tech Coalition","1967-06-02","M","95131","06085","CA","2022-10-10","","ACTIVE","FALSE","FALSE","","2.3789","2.0504","HIGH","23","2.4673","FALSE","1","1379995032","ELIGIBILITY_834","2026-08-17 00:00:00","","TRUE","2026-09-15 10:31:41","489912dce5b19d35456402c2b7721940871d3749b2fe1718131f22ff8e94b105"
"e880631b-2b32-59cd-a518-59bb98911421","SH100010","","","DEPENDENT","POS-2024-09","Sutter Health Pos Gold","POS","COMMERCIAL","GRP10426","Kaiser Community Partners","1943-08-30","F","95126","06085","CA","2024-11-11","","ACTIVE","FALSE","FALSE","","0.5094","0.4435","LOW","3","0.4597","FALSE","1","1855420240","ELIGIBILITY_834","2026-08-20 00:00:00","","TRUE","2026-09-15 10:31:41","f37a5239d160b6b08e1e95a9adbe666785a8941d8f26d38d492a316dd2620e3c"
"c83b169d-d0a0-5b9b-bf18-b90cb69d28b8","SH100011","V598-CD-6400","","DEPENDENT","MED-2024-03","Sutter Health Medicare Advantage Gold","MEDICARE_ADVANTAGE","MEDICARE","GRP10324","Central Valley Employers Group","1958-07-26","M","93720","06085","CA","2024-07-15","","ACTIVE","FALSE","FALSE","","1.9554","1.8274","HIGH","21","2.0835","TRUE","1","1642678844","ELIGIBILITY_834","2026-09-02 00:00:00","","TRUE","2026-09-15 10:31:41","2d8360962194b663c2afec8c15c8335d471087bfcf7f042e2489684d20ae7c08"
"b90cbe2e-b64c-5506-9cfa-9d34a63061bb","SH100012","","","SELF","PPO-2024-03","Sutter Health Ppo Gold","PPO","COMMERCIAL","GRP10127","Palo Alto Medical Foundation","1939-01-01","M","94103","06075","CA","2024-06-15","","ACTIVE","FALSE","FALSE","","2.2298","1.9233","HIGH","26","2.6261","FALSE","3","1479759538","ELIGIBILITY_834","2026-09-08 00:00:00","","TRUE","2026-09-15 10:31:41","e30e3b7b8b4e259eccd1f0e232de5c9b2ab0a72baa7753cafd24dd4ddc808940"
"ef4fb091-a5ec-55ef-b343-bda712beb1f3","SH100013","","","DEPENDENT","PPO-2024-06","Sutter Health Ppo Gold","PPO","COMMERCIAL","GRP10019","Safeway Health Plan","2003-04-04","F","93720","06085","CA","2025-11-08","","ACTIVE","FALSE","FALSE","","1.5616","1.4436","MODERATE","15","1.5484","FALSE","0","1338836384","ELIGIBILITY_834","2026-08-21 00:00:00","","TRUE","2026-09-15 10:31:41","a3c7b2773c47a261cdef93864d22215b4462650526553a35ea731a11297c6a70"
"e342cc05-41dc-5a29-8a11-a8fba038e65f","SH100014","","CA9519284858","SELF","MED-2024-07","Sutter Health Medicaid Managed Gold","MEDICAID_MANAGED","MEDICAID","GRP10496","Central Valley Employers Group","1991-05-05","F","95054","06085","CA","2026-04-22","","ACTIVE","FALSE","FALSE","","0.6849","0.6643","LOW","11","0.6874","FALSE","2","1291735734","ELIGIBILITY_834","2026-08-21 00:00:00","","TRUE","2026-09-15 10:31:41","ec49e0c08cd2878f9483825185e38da8801f344c2b2d080b4733b355da4d9905"
"f5750f03-3de5-563f-b1d2-dd39d17144ad","SH100015","","","DEPENDENT","HMO-2024-05","Sutter Health Hmo Gold","HMO","COMMERCIAL","GRP10035","NorCal Tech Coalition","1981-12-05","M","93722","06085","CA","2025-05-10","","ACTIVE","FALSE","FALSE","","1.3679","1.4937","MODERATE","21","1.4392","FALSE","1","1769108025","ELIGIBILITY_834","2026-08-25 00:00:00","","TRUE","2026-09-15 10:31:41","9e6935a933f3c5b916a67b6110c84a0054e61955092618dd6bc96d70b68ee8cd"
"41d3ad9c-8785-5ddb-8ba8-83549280b938","SH100016","","CA6679017210","SELF","MED-2024-04","Sutter Health Medicaid Managed Gold","MEDICAID_MANAGED","MEDICAID","GRP10146","Bay Area Health Alliance","1965-06-24","M","95128","06085","CA","2023-05-22","2024-04-27","TERMED","FALSE","FALSE","","2.7028","2.7965","HIGH","30","2.847","FALSE","3","1561588882","ELIGIBILITY_834","2026-08-21 00:00:00","","TRUE","2026-09-15 10:31:41","222831c4fbaed7426b5b4a08728ec3c4dee6f2be04e2be1f670cc163ba1c9531"
"4d07c3f8-f0d8-59a1-a400-18dc54a89d79","SH100017","","CA8285786023","SELF","MED-2024-04","Sutter Health Medicaid Managed Gold","MEDICAID_MANAGED","MEDICAID","GRP10243","Palo Alto Medical Foundation","1968-04-11","M","94102","06075","CA","2026-03-15","","ACTIVE","FALSE","FALSE","","1.1794","1.2879","MODERATE","10","1.1137","FALSE","1","1588999385","ELIGIBILITY_834","2026-08-24 00:00:00","","TRUE","2026-09-15 10:31:41","496fe623dfd16da6929244ac49ceace1eec350fe27dd47ea2e93901ec900f586"
"cb901377-55af-5fff-a5fd-13be1eec5981","SH100018","","","SPOUSE","HMO-2024-09","Sutter Health Hmo Gold","HMO","COMMERCIAL","GRP10304","NorCal Tech Coalition","2004-09-29","F","93711","06085","CA","2023-06-26","","PENDING","FALSE","FALSE","","0.809","0.7984","LOW","11","0.8317","FALSE","4","1910943524","ELIGIBILITY_834","2026-08-17 00:00:00","","TRUE","2026-09-15 10:31:41","0bd9fb52392aef62fb2843b1c6a05f717f8f0430fd60219901f5cbdd9fa7ec60"
"84daf3fb-c565-58e4-a778-68b10940dc11","SH100019","","","SELF","PPO-2024-03","Sutter Health Ppo Gold","PPO","COMMERCIAL","GRP10365","Central Valley Employers Group","1938-02-19","M","94131","06075","CA","2024-12-02","","ACTIVE","FALSE","FALSE","","2.5658","2.5822","HIGH","35","2.4253","TRUE","1","1351785565","ELIGIBILITY_834","2026-09-03 00:00:00","","TRUE","2026-09-15 10:31:41","d68fa897b86b187757e0dcd2d58103f6fa8dfb25cb2f71ca4fa55cdd9f36ba6c"
"907873d4-d181-504f-9bf2-ccb30334d4a6","SH100020","","","DEPENDENT","PPO-2024-07","Sutter Health Ppo Gold","PPO","COMMERCIAL","GRP10003","NorCal Tech Coalition","1990-01-29","M","93727","06085","CA","2023-03-26","","ACTIVE","FALSE","FALSE","","1.7144","1.7576","MODERATE","15","1.8198","FALSE","3","1420632895","ELIGIBILITY_834","2026-08-23 00:00:00","","TRUE","2026-09-15 10:31:41","8f1e1f5ad6d968a3bd11a7447fcc66749f4ab1ed0b5892787709f4dcb0caaa88"
